Order date,product_left,wareh_name,wareh_addr,wareh_state,prod_name,prod_cate,prod_price,prod_website,prod_short_description,prod_depth,prod_height,prod_width,prod_size,prod_quantity,store_id,sup_name,sup_email,sup_tel,time_id,time_date,time_month,time_quater,time_year,wareh_id,prod_id,sup_id,total_qty,total_qty_sold,prod_cost
21/9/2021 AD,27,East Within Storage,"1604 Molly Meadows Suite 138, Concord, New Hampshire 03301",New Hampshire (NH),STUVA / FRITIDS,Nursery furniture,375,https://www.ikea.com/us/en/p/stuva-fritids-toy-storage-with-wheels-white-white-s59279585/,Toy storage with wheels,50,64,60,Small,324,S1851,"Banks, Ortega and Allen",walkerian@monroe-johnson.biz,(307) 146-4390,TM0033,21,9,Q3,2021,WH1851,PD1851,SPE0044,43,16,365
6/12/2020 AD,5,South Even Warehouse,"18340 Joel Land, Providence, Rhode Island 02903",Rhode Island (RI),NORRÅKER / RÖNNINGE,Chairs,1085,https://www.ikea.com/us/en/p/norraker-roenninge-table-and-2-chairs-birch-green-s39297255/,Table and 2 chairs,,,74,Small,182,S1420,Miles-Flores,jesseestrada@moore.com,(602) 151-3875,TM0034,6,12,Q4,2020,WH0737,PD1420,SPE0003,35,30,1080
23/11/2023 AD,-10,West Democratic Depot,"87032 Mike Expressway Suite 658, Baton Rouge, Louisiana 70801",Louisiana (LA),EKET,Bookcases & shelving units,35,https://www.ikea.com/us/en/p/eket-wall-cabinet-with-glass-door-light-gray-blue-s69533010/,Wall cabinet with glass door,9,13,13,Big,92,S0503,Garcia LLC,frenchbrandi@lang.com,(503) 134-6563,TM0035,23,11,Q4,2023,WH0222,PD0503,SPE0098,17,27,32
27/1/2021 AD,2,East Picture Depot,"33905 Mark Drive, Dover, Delaware 19901",Delaware (DE),ALGOT / BROR,Bookcases & shelving units,1311,https://www.ikea.com/us/en/p/algot-bror-shelving-unit-with-cabinet-black-s69285473/,Shelving unit with cabinet,41,162,162,Big,212,S0719,Burgess PLC,reidamanda@hanson.info,(501) 196-8834,TM0036,27,1,Q1,2021,WH0719,PD0719,SPE0119,28,26,1309
9/8/2021 AD,41,North Down Depot,"35217 Kevin Freeway, Helena, Montana 59601",Montana (MT),KALLVIKEN,Cabinets & cupboards,135,https://www.ikea.com/us/en/p/kallviken-door-drawer-front-dark-grey-concrete-effect-50425987/,Door/drawer front,,38,60,Small,2,S0913,Williams Group,james26@murphy.com,(919) 123-9316,TM0037,9,8,Q3,2021,WH1800,PD0913,SPE0147,50,9,133
12/10/2021 AD,-11,South Cut Storage,"60360 Palmer Stravenue, Jefferson City, Missouri 65101",Missouri (MO),BEKANT,Bookcases & shelving units,439.99,https://www.ikea.com/us/en/p/bekant-storage-unit-on-casters-mesh-white-s09282547/,Storage unit on casters,17,30,24,Big,18,S0533,Miller and Sons,jill72@dean.com,(609) 137-1022,TM0038,12,10,Q4,2021,WH1540,PD0533,SPE0099,11,22,434.99
15/6/2019 AD,-1,Morgan Warehouse,"0726 Mcclure Islands Apt. 136
 Madison, WI 53703",Wisconsin (WI),SYMFONISK,Bookcases & shelving units,26.99,https://www.ikea.com/us/en/p/symfonisk-wall-bracket-adjustable-white-20494067/,Wall bracket,24,24,24,Medium,191,S0613,Owen-Bowen,dodsonbridget@baker-cantu.com,(617) 196-7486,TM0039,15,6,Q2,2019,WH0042,PD0613,SPE0010,21,22,19.99
15/2/2020 AD,40,South Commercial Distribution Center,"6525 Frederick Hollow, Saint Paul, Minnesota 55102",Minnesota (MN),TROFAST,Children's furniture,195,https://www.ikea.com/us/en/p/trofast-wall-storage-light-white-stained-pine-pine-white-s49102304/,Wall storage,21,30,,Medium,308,S1695,"Griffith, Gonzalez and Brown",william91@elliott.org,(512) 199-1321,TM0040,15,2,Q1,2020,WH1225,PD1695,SPE0040,44,4,191
15/2/2019 AD,20,West Thousand Distribution Center,"339 Lindsey Islands Suite 788, Providence, Rhode Island 02903",Rhode Island (RI),SNIGLAR,Beds,119,https://www.ikea.com/us/en/p/sniglar-cot-beech-30248537/,Crib,52,80,66,Big,234,S0110,"Underwood, King and Parker",paula54@boyle.com,(801) 190-8263,TM0041,15,2,Q1,2019,WH0679,PD0110,SPE0126,23,3,117
18/9/2021 AD,22,West Law Depot,"905 Ross Branch Suite 487, Helena, Montana 59601",Montana (MT),TYSSEDAL,Chests of drawers & drawer units,945,https://www.ikea.com/us/en/p/tyssedal-chest-of-4-drawers-white-80391325/,Chest of 4 drawers,54,76,87,Medium,212,S1563,"Davis, Patterson and Farley",taylor07@nelson.com,(303) 115-7540,TM0042,18,9,Q3,2021,WH1172,PD1563,SPE0105,24,2,944
27/12/2020 AD,42,South Party Distribution Center,"98251 Benjamin Light, Richmond, Virginia 23219",Virginia (VA),STUVA / FRITIDS,Chests of drawers & drawer units,730,https://www.ikea.com/us/en/p/stuva-fritids-chest-of-6-drawers-white-white-s69252712/,Chest of 6 drawers,50,128,60,Small,198,S1597,Palmer-Wells,dawn41@mullins-garcia.com,(601) 186-8186,TM0043,27,12,Q4,2020,WH0298,PD1597,SPE0094,46,4,720
30/11/2019 AD,23,East Kitchen Storage,"778 Maureen Villages, Juneau, Alaska 99801",Alaska (AK),BERGHALLA,Cabinets & cupboards,22,https://www.ikea.com/us/en/p/berghalla-handle-white-80322855/,Handle,32,,9,Small,45,S0980,Fuentes-Simon,jason62@smith.com,(406) 170-3274,TM0044,30,11,Q4,2019,WH0569,PD0980,SPE0006,33,10,14
18/1/2022 AD,-14,South Onto Distribution Center,"167 Tucker Stream Apt. 297, Albany, New York 12207",New York (NY),STENSELE,Café furniture,450,https://www.ikea.com/us/en/p/stensele-table-light-grey-light-grey-s49288236/,Table,,75,,Big,407,S1027,West-White,aaron02@ferguson.com,(701) 190-8366,TM0045,18,1,Q1,2022,WH1884,PD1027,SPE0068,11,25,445
20/4/2022 AD,15,East Serious Warehouse,"161 April Ranch Apt. 576, Des Moines, Iowa 50309",Iowa (IA),FJÄLLBO,Bookcases & shelving units,99,https://www.ikea.com/us/en/p/fjaellbo-shelf-unit-black-70342199/,Shelf unit,14,53,20,Big,385,S0339,"Gill, Spencer and Yates",diana51@mccullough.org,(302) 121-4314,TM0046,20,4,Q2,2022,WH0203,PD0339,SPE0123,29,14,94
7/8/2021 AD,20,West Mother Depot,"6862 Lee Trafficway, Tallahassee, Florida 32301",Florida (FL),BYÅS,TV & media furniture,189.99,https://www.ikea.com/us/en/p/byas-tv-unit-high-gloss-white-80227797/,TV unit,16,17,63,Medium,230,S0177,Cox Ltd,teresagarcia@jones-castillo.biz,(775) 115-8170,TM0047,7,8,Q3,2021,WH0633,PD0177,SPE0102,35,15,184.99
29/5/2021 AD,-18,East Debate Storage,"70467 Abigail Creek Apt. 139, Honolulu, Hawaii 96813",Hawaii (HI),AGAM,Children's furniture,195,https://www.ikea.com/us/en/p/agam-junior-chair-black-70253541/,Junior chair,43,79,41,Small,277,S1765,"Spencer, Gill and Pruitt",coryortiz@kennedy-williams.com,(512) 145-6292,TM0048,29,5,Q2,2021,WH1417,PD1765,SPE0063,10,28,192
26/10/2022 AD,22,North Detail Warehouse,"9235 Fuller Ranch Apt. 563, Oklahoma City, Oklahoma 73102",Oklahoma (OK),VÄSTANBY/VÄSTANÅ / BERNHARD,Chairs,4295,https://www.ikea.com/us/en/p/vaestanby-vaestana-bernhard-table-and-4-chairs-dark-brown-kavat-white-s19103183/,Table and 4 chairs,,75,78,Big,189,S1474,Martin-Adams,garciavictoria@dean-jacobs.com,(916) 181-4778,TM0049,26,10,Q4,2022,WH0856,PD1474,SPE0081,38,16,4290
30/6/2021 AD,-4,East Picture Depot,"33905 Mark Drive, Dover, Delaware 19901",Delaware (DE),NORRÅKER / RÖNNINGE,Chairs,1976,https://www.ikea.com/us/en/p/norraker-roenninge-table-and-4-chairs-birch-green-s69297230/,Table and 4 chairs,,,74,Small,353,S1430,Wright Ltd,scott66@roberts-marquez.com,(208) 181-5224,TM0050,30,6,Q2,2021,WH0719,PD1430,SPE0151,16,20,1971
24/5/2020 AD,19,South School Distribution Center,"75352 Davis Crossing Suite 388, Trenton, New Jersey 08608",New Jersey (NJ),HAUGA,TV & media furniture,507.99,https://www.ikea.com/us/en/p/hauga-tv-storage-combination-white-s19387902/,TV/storage combination,18,78,109,Small,375,S0166,Jones-Fisher,jessicamoss@barnes.net,(601) 165-5769,TM0051,24,5,Q2,2020,WH1404,PD0166,SPE0142,30,11,500.99
7/11/2019 AD,8,Central Visit Storage,"747 Sean Mission, Trenton, New Jersey 08608",New Jersey (NJ),HELMER,Chests of drawers & drawer units,175,https://www.ikea.com/us/en/p/helmer-drawer-unit-on-castors-black-20341970/,Drawer unit on castors,44,69,28,Medium,103,S1532,Elliott Inc,knappjason@williams.info,(801) 113-4260,TM0052,7,11,Q4,2019,WH1274,PD1532,SPE0150,17,9,165
6/2/2021 AD,5,West Scientist Depot,"13062 Daniel Mission, Honolulu, Hawaii 96813",Hawaii (HI),TOSSBERG,Chairs,495,https://www.ikea.com/us/en/p/tossberg-chair-metal-black-grey-90435324/,Chair,56,82,60,Big,38,S1085,Pena Inc,mayerjennifer@foster.com,(302) 175-4037,TM0053,6,2,Q1,2021,WH1720,PD1085,SPE0115,20,15,486
31/3/2022 AD,1,Michael Warehouse,"3479 Timothy Square Suite 457
 Topeka, KS 66603",Kansas (KS),ALGOT,Bookcases & shelving units,296,https://www.ikea.com/us/en/p/algot-wall-upright-shelves-white-s99903788/,Wall upright/shelves,41,197,86,Big,458,S0730,"Johnson, Simmons and Barrett",rhonda18@lamb.biz,(404) 185-5587,TM0054,31,3,Q1,2022,WH0051,PD0730,SPE0124,15,14,286
18/11/2023 AD,0,East Be Warehouse,"2257 Smith Viaduct, Harrisburg, Pennsylvania 17101",Pennsylvania (PA),LERHAMN,Chairs,145,https://www.ikea.com/us/en/p/lerhamn-chair-light-antique-stain-vittaryd-beige-20259423/,Chair,49,85,42,Medium,363,S1185,Ayala Ltd,melissawilson@bowen.com,(602) 168-8140,TM0055,18,11,Q4,2023,WH1026,PD1185,SPE0061,16,16,141
6/5/2020 AD,44,Central Wear Warehouse,"391 Bethany Keys, Tallahassee, Florida 32301",Florida (FL),TOSTERÖ,Outdoor furniture,103,https://www.ikea.com/us/en/p/tosteroe-cover-for-furniture-set-black-50285265/,Cover for furniture set,,90,70,Small,133,S1913,Williams PLC,twilson@ross.org,(334) 169-6330,TM0056,6,5,Q2,2020,WH1598,PD1913,SPE0129,50,6,99
31/5/2019 AD,16,North Across Distribution Center,"6826 Hester Valleys, Juneau, Alaska 99801",Alaska (AK),BRORINGE,Chairs,95,https://www.ikea.com/us/en/p/broringe-underframe-white-90339902/,Underframe,50,45,52,Big,420,S1302,Elliott Inc,knappjason@williams.info,(801) 113-4260,TM0057,31,5,Q2,2019,WH0255,PD1302,SPE0150,24,8,94
25/12/2020 AD,31,Central Against Warehouse,"1402 Osborne Manors Apt. 949, Cheyenne, Wyoming 82001",Wyoming (WY),MÖRBYLÅNGA / BERNHARD,Chairs,5275,https://www.ikea.com/us/en/p/moerbylanga-bernhard-table-and-4-chairs-oak-veneer-mjuk-golden-brown-s89280714/,Table and 4 chairs,,,85,Medium,275,S1435,Woods LLC,stephaniecastillo@ewing.net,(304) 154-7096,TM0058,25,12,Q4,2020,WH1762,PD1435,SPE0022,44,13,5270
13/12/2022 AD,6,North Career Warehouse,"843 Carter Drives Apt. 461, Pierre, South Dakota 57501",South Dakota (SD),FRÖSÖN,Outdoor furniture,15,https://www.ikea.com/us/en/p/froesoen-cover-for-chair-cushion-outdoor-dark-grey-60391717/,Cover for chair cushion,44,2,44,Small,451,S1976,Shaw PLC,kellyowens@torres.com,(317) 190-9573,TM0059,13,12,Q4,2022,WH1503,PD1976,SPE0037,23,17,7
18/8/2020 AD,-10,South Should Depot,"20835 Haley Road Suite 025, Springfield, Illinois 62701",Illinois (IL),BLÅKULLEN,Beds,299,https://www.ikea.com/us/en/p/blakullen-upholster-bed-frame-with-headboard-knisa-medium-blue-60505714/,Upholster bed frame with headboard,54,20,146,Small,62,S0071,"Mcgrath, Silva and Williams",petersfrank@hurley-neal.com,(802) 192-8390,TM0060,18,8,Q3,2020,WH1005,PD0071,SPE0092,18,28,292
10/11/2023 AD,33,North Up Depot,"6221 Tony Valleys, Saint Paul, Minnesota 55102",Minnesota (MN),ULRIKSBERG,Chairs,445,https://www.ikea.com/us/en/p/ulriksberg-armchair-rattan-anthracite-90434310/,Armchair,74,76,67,Medium,459,S1139,Bean-Buchanan,coxjessica@herman.com,(602) 175-1429,TM0061,10,11,Q4,2023,WH1790,PD1139,SPE0134,45,12,444
8/6/2023 AD,17,North Total Depot,"345 Kevin Knoll Suite 977, Concord, New Hampshire 03301",New Hampshire (NH),DIETMAR,Chairs,175,https://www.ikea.com/us/en/p/dietmar-underframe-for-chair-with-armrests-white-50393000/,Underframe for chair with armrests,50,65,53,Big,433,S1499,Ortiz Inc,cballard@hutchinson-alexander.net,(916) 134-2894,TM0062,8,6,Q2,2023,WH1605,PD1499,SPE0116,42,25,167
28/10/2022 AD,29,North Standard Warehouse,"35280 Wilson Junction, Boise, Idaho 83702",Idaho (ID),BRIMNES,TV & media furniture,149.99,https://www.ikea.com/us/en/p/brimnes-tv-unit-black-70409873/,TV unit,16,20,70,Big,395,S0162,Munoz-Ramos,wilsonjustin@wallace.com,(303) 152-9904,TM0063,28,10,Q4,2022,WH1049,PD0162,SPE0109,33,4,147.99
